2026-01-21 12:03:57,609 param | DEBUG | dirs : ['dirs', [['/home/sand/Music/musique/pop/covers', '1'], ['/home/sand/Music/musique/pop/en/ABBA', '1'], ['/home/sand/Music/musique/pop/en/Alec Benjamin', '1'], ['/home/sand/Music/musique/pop/en/Bruno Mars', '1'], ['/home/sand/Music/musique/pop/en/Anson Seabra', '1'], ['/home/sand/Music/musique/pop/en/Ava Max', '1'], ['/home/sand/Music/musique/pop/en/BonnieTyler', '1'], ['/home/sand/Music/musique/pop/en/imagine dragon', '1'], ['/home/sand/Music/musique/pop/en/Blue Saraceno', '1'], ['/home/sand/Music/musique/pop/en/Bryant Barnes', '1'], ['/home/sand/Music/musique/pop/en/Abe Parker', '1'], ['/home/sand/Music/musique/pop/en/BlackBear', '1'], ['/home/sand/Music/musique/pop/en/Alex Warren', '1'], ['/home/sand/Music/musique/pop/en/BoyWithUke', '1'], ['/home/sand/Music/musique/pop/en/Alphaville', '1'], ['/home/sand/Music/musique/pop/en/jonah kagen', '1'], ['/home/sand/Music/musique/pop/en/Aloe Blacc', '1'], ['/home/sand/Music/musique/pop/en/Alexander Rybak', '1'], ['/home/sand/Music/musique/pop/en/Vance Joy', '1'], ['/home/sand/Music/musique/pop/en/powfu', '1'], ['/home/sand/Music/musique/pop/en/Alice Merton', '1'], ['/home/sand/Music/musique/pop/en/david kushner', '1'], ['/home/sand/Music/musique/pop/en/marino', '1'], ['/home/sand/Music/musique/pop/en/Beyonce', '1'], ['/home/sand/Music/musique/pop/en/Beabadoobee', '1'], ['/home/sand/Music/musique/pop/en/dean lewis', '1'], ['/home/sand/Music/musique/pop/en/ed sheeran', '1'], ['/home/sand/Music/musique/pop/en/jaymes young', '1'], ['/home/sand/Music/musique/pop/en/Avicii', '1'], ['/home/sand/Music/musique/pop/en/marron five', '1'], ['/home/sand/Music/musique/pop/en/coldplay', '1'], ['/home/sand/Music/musique/pop/en/eminem', '1'], ['/home/sand/Music/musique/pop/en/Artic Monkeys', '1'], ['/home/sand/Music/musique/pop/en/linking park', '1'], ['/home/sand/Music/musique/pop/en/the fat rat', '1'], ['/home/sand/Music/musique/pop/en/david guetta', '1'], ['/home/sand/Music/musique/pop/en/Billie Elilish', '1'], ['/home/sand/Music/musique/pop/en/Bruno Major', '1'], ['/home/sand/Music/musique/pop/en/Aerosmith', '1'], ['/home/sand/Music/musique/pop/en/Black eye peas', '1'], ['/home/sand/Music/musique/pop/en/Aviva', '1'], ['/home/sand/Music/musique/pop/en/Britney Spears', '1'], ['/home/sand/Music/musique/pop/en/AJR', '1'], ['/home/sand/Music/musique/pop/en/fools garden', '1'], ['/home/sand/Music/musique/pop/en/adele', '1'], ['/home/sand/Music/musique/pop/en/Bon Jovi', '1'], ['/home/sand/Music/musique/pop/en/Axell ingrosso', '1'], ['/home/sand/Music/musique/pop/en/Aurora', '1'], ['/home/sand/Music/musique/pop/en/Benson Boone', '1'], ['/home/sand/Music/musique/pop/en/Alexander Steward', '1'], ['/home/sand/Music/musique/pop/en', '1'], ['/home/sand/Music/musique/pop/fr/france gall', '1'], ['/home/sand/Music/musique/pop/fr/francis cabrel', '1'], ['/home/sand/Music/musique/pop/fr/soprano', '1'], ['/home/sand/Music/musique/pop/fr/jeremy frerot', '1'], ['/home/sand/Music/musique/pop/fr/les poppys', '1'], ['/home/sand/Music/musique/pop/fr/indila', '1'], ['/home/sand/Music/musique/pop/fr/zaz', '1'], ['/home/sand/Music/musique/pop/fr/kyo', '1'], ['/home/sand/Music/musique/pop/fr/claude francois', '1'], ['/home/sand/Music/musique/pop/fr/florent pagny', '1'], ['/home/sand/Music/musique/pop/fr/bigflo & oli', '1'], ['/home/sand/Music/musique/pop/fr/patrick bruel', '1'], ['/home/sand/Music/musique/pop/fr/jacque brel', '1'], ['/home/sand/Music/musique/pop/fr/Adele & Robin', '1'], ['/home/sand/Music/musique/pop/fr/renauld', '1'], ['/home/sand/Music/musique/pop/fr/indochine', '1'], ['/home/sand/Music/musique/pop/fr/stromae', '1'], ['/home/sand/Music/musique/pop/fr/telephone', '1'], ['/home/sand/Music/musique/pop/fr/claudio capeo', '1'], ['/home/sand/Music/musique/pop/fr/boulevard des airs', '1'], ['/home/sand/Music/musique/pop/fr/gims', '1'], ['/home/sand/Music/musique/pop/fr/goldman', '1'], ['/home/sand/Music/musique/pop/fr/vianney', '1'], ['/home/sand/Music/musique/pop/fr/louane', '1'], ['/home/sand/Music/musique/pop/fr/slimane', '1'], ['/home/sand/Music/musique/pop/fr/kendji girac', '1'], ['/home/sand/Music/musique/pop/fr/joseph camel', '1'], ['/home/sand/Music/musique/pop/fr/amir', '1'], ['/home/sand/Music/musique/pop/fr/calogero', '1'], ['/home/sand/Music/musique/pop/fr', '1'], ['/home/sand/Music/musique/pop/nightcore', '1'], ['/home/sand/Music/musique/pop', '1'], ['/home/sand/Music/musique/ringbell', '0'], ['/home/sand/Music/musique/piano', '1'], ['/home/sand/Music/musique/anime/ops/fairy tail', '1'], ['/home/sand/Music/musique/anime/ops/naruto', '1'], ['/home/sand/Music/musique/anime/ops', '0'], ['/home/sand/Music/musique/anime/song', '1'], ['/home/sand/Music/musique/anime', '1'], ['/home/sand/Music/musique/download', '1'], ['/home/sand/Music/musique/game/C418 (Minecraft)', '0'], ['/home/sand/Music/musique/game/clair_obscur/world map', '1'], ['/home/sand/Music/musique/game/clair_obscur/gestral/beach', '1'], ['/home/sand/Music/musique/game/clair_obscur/gestral/village', '1'], ['/home/sand/Music/musique/game/clair_obscur/gestral/misc', '1'], ['/home/sand/Music/musique/game/clair_obscur/gestral', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/flying water', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/the manor', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/spring meadows', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/The canvas', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/the reacher', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/monoco station', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/atelier de clea', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/esquie nest', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/opera lumiere', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/falling leaves', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/firecamp', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/ancient Sanctuary', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/sirene', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/Paris', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/Visages', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/stone cliff', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/yellow forest', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/sacred river', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/lumiere', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/old lumiere', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones/forgotten battlefield', '1'], ['/home/sand/Music/musique/game/clair_obscur/zones', '1'], ['/home/sand/Music/musique/game/clair_obscur/characters', '1'], ['/home/sand/Music/musique/game/clair_obscur/misc', '1'], ['/home/sand/Music/musique/game/clair_obscur/music box', '1'], ['/home/sand/Music/musique/game/clair_obscur', '1'], ['/home/sand/Music/musique/game/undertale', '0'], ['/home/sand/Music/musique/game/hades', '0'], ['/home/sand/Music/musique/game/songs', '1'], ['/home/sand/Music/musique/game/hollow knight', '0'], ['/home/sand/Music/musique/game', '1'], ['/home/sand/Music/musique/others', '0'], ['/run/media/sand/CF01-0FE0/outputs/blackstreet', '1'], ['/run/media/sand/CF01-0FE0/outputs/motown story', '1'], ['/run/media/sand/CF01-0FE0/outputs/rythm nation', '1'], ['/run/media/sand/CF01-0FE0/outputs/pure funk', '1'], ["/run/media/sand/CF01-0FE0/outputs/R'nB", '1'], ['/run/media/sand/CF01-0FE0/outputs/R.Kelly/R.kelly', '1'], ['/run/media/sand/CF01-0FE0/outputs/R.Kelly/Disc B', '1'], ['/run/media/sand/CF01-0FE0/outputs/R.Kelly/Disc A', '1'], ['/run/media/sand/CF01-0FE0/outputs/R.Kelly', '1'], ['/mnt/musique/clair_obscur/gestral/beach', '1'], ['/mnt/musique/clair_obscur/gestral/misc', '1'], ['/mnt/musique/clair_obscur/gestral/village', '1'], ['/mnt/musique/clair_obscur/gestral', '1'], ['/mnt/musique/clair_obscur/zones/flying water', '1'], ['/mnt/musique/clair_obscur/zones/yellow forest', '1'], ['/mnt/musique/clair_obscur/zones/forgotten battlefield', '1'], ['/mnt/musique/clair_obscur/zones/opera lumiere', '1'], ['/mnt/musique/clair_obscur/zones/firecamp', '1'], ['/mnt/musique/clair_obscur/zones/the reacher', '1'], ['/mnt/musique/clair_obscur/zones/Paris', '1'], ['/mnt/musique/clair_obscur/zones/monoco station', '1'], ['/mnt/musique/clair_obscur/zones/sirene', '1'], ['/mnt/musique/clair_obscur/zones/The canvas', '1'], ['/mnt/musique/clair_obscur/zones/ancient Sanctuary', '1'], ['/mnt/musique/clair_obscur/zones/sacred river', '1'], ['/mnt/musique/clair_obscur/zones/the manor', '1'], ['/mnt/musique/clair_obscur/zones/Visages', '1'], ['/mnt/musique/clair_obscur/zones/old lumiere', '1'], ['/mnt/musique/clair_obscur/zones/lumiere', '1'], ['/mnt/musique/clair_obscur/zones/stone cliff', '1'], ['/mnt/musique/clair_obscur/zones/falling leaves', '1'], ['/mnt/musique/clair_obscur/zones/esquie nest', '1'], ['/mnt/musique/clair_obscur/zones/atelier de clea', '1'], ['/mnt/musique/clair_obscur/zones/spring meadows', '1'], ['/mnt/musique/clair_obscur/zones', '1'], ['/mnt/musique/clair_obscur/music box', '1'], ['/mnt/musique/clair_obscur/misc', '1'], ['/mnt/musique/clair_obscur/characters', '1'], ['/mnt/musique/clair_obscur/world map', '1'], ['/mnt/musique/clair_obscur', '1']]] 
2026-01-21 12:03:57,609 param | DEBUG | play_favorite : ['play_favorite', '0'] 
2026-01-21 12:03:57,609 param | DEBUG | fchoose : ['fchoose', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | graphic_manager : ['graphic_manager', 'base'] 
2026-01-21 12:03:57,609 param | DEBUG | confirmation : ['confirmation', 'Your choice'] 
2026-01-21 12:03:57,609 param | DEBUG | show : ['show', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | word : ['word', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | base_soundmap : ['base_soundmap', 'appdata/midi_codec/default.sf2'] 
2026-01-21 12:03:57,609 param | DEBUG | addaptive_bar : ['addaptive_bar', '1'] 
2026-01-21 12:03:57,609 param | DEBUG | color : ['color', '0'] 
